text,category,sentiment,flexibility
Don't adjust washer,comfort,0.20859294937408973,0.20108222769634604
Minimize bill,cost,0.607765442639224,0.7534431380084875
Don't adjust dryer,comfort,0.1948351957897479,0.03253552001034182
Don't adjust EV,comfort,0.43074587131360187,0.11737100174260523
Minimize bill,cost,0.4727444193296194,0.6934631540650832
Shift HVAC to off-peak,cost,0.49190400497739134,0.7367080329512459
Flexible with EV,flex,0.9781788681579913,0.9214424757038833
Shift washer to off-peak,cost,0.541596141170007,0.8293379747156264
Use renewable energy,env,0.9069529673604864,0.5777310623943261
Use renewable energy,env,0.5479876040511168,0.5539219465231561
washer can be delayed,flex,0.8278226842193229,0.9925659812724981
Reduce carbon,env,0.8215230395275421,0.5838652134265611
dryer can be delayed,flex,0.88550616949146,0.9613724885294959
Keep washer on,comfort,0.2821645833088208,0.2274189291373448
Minimize bill,cost,0.5231333949234498,0.6855769734461623
Shift EV to off-peak,cost,0.5117887045677707,0.7699713393588653
Minimize bill,cost,0.5875384905657539,0.6123364338680877
Reduce carbon,env,0.6896504123668941,0.6286774859789327
Shift washer to off-peak,cost,0.6226199299146377,0.734676600773746
Shift EV to off-peak,cost,0.6791686237031134,0.5825190615451463
Minimize bill,cost,0.5476345397768692,0.6232174821049474
Flexible with washer,flex,0.8306548615645115,0.9201100872188658
Shift EV to off-peak,cost,0.7012969248619466,0.6454827398614543
Minimize bill,cost,0.7376213142747273,0.43477706284088163
Flexible with EV,flex,0.8445315150954625,0.8398808820856306
Shift HVAC to off-peak,cost,0.6471675096790087,0.6500407850462192
Flexible with dryer,flex,0.8212739232990017,0.8648683424314515
Shift HVAC to off-peak,cost,0.6077615885116637,0.7008181992162692
Shift dryer to off-peak,cost,0.5748665485668553,0.8286887120411115
Flexible with HVAC,flex,0.8415751727154276,0.7170564000876968
Shift EV to off-peak,cost,0.7327493644480798,0.6805221750442205
Don't adjust HVAC,comfort,0.33133379827920795,0.14625135918274632
Shift EV to off-peak,cost,0.5949579452369845,0.5767648340054965
Flexible with dryer,flex,0.7866689529667377,0.9647267305503416
Use renewable energy,env,0.617091043475088,0.25532841205364243
Reduce carbon,env,0.6596047429823069,0.5923987070341633
Reduce carbon,env,0.5531059157458399,0.6693927316312328
washer can be delayed,flex,0.7371461791416778,0.8548050052774626
Minimize bill,cost,0.7068064752099983,0.6030347300458447
Minimize bill,cost,0.4460045959271478,0.7906959831336682
Minimize bill,cost,0.6211297376319259,0.6979513351405106
EV can be delayed,flex,0.8727956489981797,0.7614702606764907
Reduce carbon,env,0.7472248378339117,0.6144445965720551
Don't adjust EV,comfort,0.2695430040769898,0.22728921706815727
Keep EV on,comfort,0.17743691602370595,0.4280577920368779
Minimize bill,cost,0.790127935737435,0.891723349607465
Shift dryer to off-peak,cost,0.5909586090424729,0.6496876153851677
Minimize bill,cost,0.6346582685807266,0.8192711880954103
Flexible with dryer,flex,0.8163902194300611,0.7419017865218425
HVAC can be delayed,flex,0.9180017493999562,1.0
Minimize bill,cost,0.8527894180580069,0.817273779434619
Don't adjust HVAC,comfort,0.29654435016920283,0.11593154004240139
Don't adjust EV,comfort,0.46976966223608807,0.18321489580496228
Minimize bill,cost,0.5433280225262478,0.5737751079786654
Use renewable energy,env,0.7224272604592195,0.6070913923748237
Reduce carbon,env,0.6901347245110374,0.5851918815612116
Shift HVAC to off-peak,cost,0.5927775132644912,0.6246829255526352
Flexible with HVAC,flex,0.8025892330763886,0.8600134731814059
Don't adjust dryer,comfort,0.2816399189044693,0.3408936257709486
Reduce carbon,env,0.7746014944106696,0.7024792256694954
EV can be delayed,flex,0.8175319840853192,1.0
Keep washer on,comfort,0.47437577556765165,0.23436485798950452
Don't adjust HVAC,comfort,0.26035140617879465,0.1756670195273377
Shift HVAC to off-peak,cost,0.6559000264595672,0.7681752888903461
washer can be delayed,flex,0.7403702991859322,0.9041367768892621
EV can be delayed,flex,0.8003675212659225,0.8594671929580485
EV can be delayed,flex,0.7897018309666404,1.0
Don't adjust HVAC,comfort,0.43202093509156025,0.07410996035384168
Shift dryer to off-peak,cost,0.658630155343195,0.8668467972497655
dryer can be delayed,flex,0.8017994802993526,0.932919096102039
Don't adjust dryer,comfort,0.15410490865701196,0.29441600625339276
Keep washer on,comfort,0.35546935860661705,0.1428092050794461
Flexible with dryer,flex,0.8274210799175277,1.0
HVAC can be delayed,flex,0.6625278250972619,0.9983496639775813
Use renewable energy,env,0.644288639198527,0.6277738759077733
Keep EV on,comfort,0.30904504768345903,0.1875081017153096
Keep HVAC on,comfort,0.2117831020431482,0.14597005038704092
Don't adjust HVAC,comfort,0.288698340605781,0.29890433963128793
Don't adjust HVAC,comfort,0.28015559856922506,0.10330419358859895
HVAC can be delayed,flex,0.8136474720377099,0.932687215122608
Don't adjust dryer,comfort,0.30176230650590447,0.1641272982564186
Reduce carbon,env,0.47746999566163895,0.5452366400877421
Use renewable energy,env,0.7130086417205925,0.48923208876438656
washer can be delayed,flex,0.9071531397276529,0.7784288251168027
Flexible with EV,flex,0.8840942616181778,0.8533764871249379
Keep EV on,comfort,0.3709210071208754,0.32329017797741694
Don't adjust washer,comfort,0.2734745739799588,0.1809105551877535
Shift EV to off-peak,cost,0.5169116475899054,0.562590303570544
Shift washer to off-peak,cost,0.5359213050212167,0.7959299602662334
Shift washer to off-peak,cost,0.44653073310011004,0.6968889637603342
Keep EV on,comfort,0.5203152963747553,0.10739665696122856
Shift EV to off-peak,cost,0.735415714438534,0.7722282856741922
Don't adjust washer,comfort,0.33121532976509654,0.21623820394961699
Use renewable energy,env,0.5570576179106476,0.5816865261799028
Shift dryer to off-peak,cost,0.4974674735162705,0.8477211836688269
Use renewable energy,env,0.7673374011264034,0.39348136814248524
Flexible with EV,flex,0.790325501122888,0.9428633180906509
Keep HVAC on,comfort,0.31347703761816764,0.1374663777772025
Use renewable energy,env,0.8973118607874013,0.7311166466200887
EV can be delayed,flex,0.6230347582955182,0.851738111023647
Don't adjust EV,comfort,0.15040307764797564,0.04364529805716286
Use renewable energy,env,0.6698376532637872,0.4079181731686812
Minimize bill,cost,0.5235486056172732,0.6996263524008747
Use renewable energy,env,0.691652061639277,0.5455378437950417
Minimize bill,cost,0.626933194520262,0.7314943409943905
Reduce carbon,env,0.6971420568175608,0.5583729311228646
Minimize bill,cost,0.7189519903876186,0.5984648178130897
HVAC can be delayed,flex,0.8488116392376058,0.8727225664974037
Reduce carbon,env,0.6459537419845202,0.6626502847603337
Use renewable energy,env,0.5645168187954318,0.6177888374652404
dryer can be delayed,flex,0.6647511639796613,0.9164213608895763
Minimize bill,cost,0.7050056898207857,0.683646635982422
Reduce carbon,env,0.7267363607261622,0.551346001372397
Minimize bill,cost,0.6369319965481833,0.5147835219891815
Flexible with washer,flex,0.8019390852397651,0.8630080783841095
Keep washer on,comfort,0.31324629899663925,0.05118000294146882
Flexible with EV,flex,0.719674536979417,1.0
Keep HVAC on,comfort,0.29292877291530334,0.24887983583521495
Use renewable energy,env,0.6636133792348313,0.5219044675665478
Flexible with washer,flex,0.6979494841351082,0.966731159626355
dryer can be delayed,flex,0.8615225081688089,0.8213102367600625
Shift EV to off-peak,cost,0.5724344134532314,0.6879906064786914
HVAC can be delayed,flex,0.821716850562134,0.7020846381426281
Reduce carbon,env,0.9091059054366815,0.49380898801753975
